"Reference","Value","Datasheet","Footprint","Qty","DNP"
"ABL1,FAN2,FAN3,THM1,THM2,THM3,Z_END1","B2B-XH-A","","B2B-XH-A:JST_B2B-XH-A","7",""
"BED1,HOTEND1","1751248","","Phoenix 1751248:PHOENIX_1751248","2",""
"C1,C2,C3,C4,C8","100uf 35v","","CAP_EEEFT1V101AP","5",""
"C5,C6,C7","GCM155R71H104KE02J","","GCM155R71H104KE02J:CAPC1005X55N","3",""
"C9","330uf 35v","","UWT1V101MCL1GS:CAPAE830X1000N","1",""
"C10","220uf 16v","","EEEFN1C221XP:CAP_EEEFN1C221XP","1",""
"D1,D2,D3","WS2812","https://cdn-shop.adafruit.com/datasheets/WS2812.pdf","LED_SMD:LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm","3",""
"FAN1,Q1,Q2","~","","-- mixed values --","3",""
"J2","Conn_02x10_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","1",""
"M1,M2,M3","AO3400A","","AO3400A:SOT95P280X125-3N","3",""
"MOTOR_E1,MOTOR_X1,MOTOR_Y1,MOTOR_Z1","B4B-XH-A","","B4B-XH-A:JST_B4B-XH-A","4",""
"PWR1","PJ-102B","","PJ-102B:CUI_PJ-102B","1",""
"R1,R2,R3","RC1206JR-134K7L","","RC1206JR-134K7L:RESC3216X65","3",""
"R4,R6","4.7k","","RC1206JR-134K7L:RESC3216X65","2",""
"R7","1k","","RC0603FR-131KL:0603","1",""
"R8,R9","5.1k","~","RMCF0805JT5K10:RESC2012X65N","2",""
"REN1","PEC11H-4015F-S0016","PEC11H-4015F-S0016","PinHeader:PinHeader_1x04_P2.54mm_Vertical","1",""
"RGB1","B3B-XH-A","","b3b-xh-a:JST_B3B-XH-A","1",""
"S1,S2,S3,S4","TMC2209_SILENTSTEPSTICK","","TMC2209_SILENTSTEPSTICK:MODULE_TMC2209_SILENTSTEPSTICK","4",""
"SCRN1","SSD1306","","PinHeader:PinHeader_1x04_P2.54mm_Vertical","1",""
"U1","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U6","LM2576HVS-5","http://www.ti.com/lit/ds/symlink/lm2576.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U8","STM32F405RGTx","https://www.st.com/resource/en/datasheet/stm32f405rg.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"USB_C1","TYPE-C-31-M-12","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
